Histology,ALB,PRSS2,CTRB2,PRSS1,PPY,CPB1,OLFM4,CELP,PNLIPRP2,CPA1,CTRL,REG1A
0,2.47743010521,5.6443901062,4.86263990402,4.28608989716,5.13682985306,5.14463996887,3.57529997826,5.0724401474,2.96226000786,4.22993993759,4.32108020782,4.25179004669
0,2.63314008713,5.88419008255,4.16700983047,4.460460186,4.47169017792,5.04590988159,3.66755008698,4.89610004425,3.28309011459,3.88451004028,4.20260000229,4.430560112
0,2.47600007057,12.4821996689,8.38883018494,10.4264001846,9.14124011993,9.831199646,14.0649003983,6.16134977341,7.91489982605,7.96273994446,5.05427980423,10.1017999649
0,2.72287988663,12.4275999069,7.74491977692,10.0937004089,8.88512039185,9.62170028687,14.039899826,6.33748006821,8.40289974213,7.55124998093,4.73867988586,9.74011039734
0,3.40790009499,14.3632001877,13.6319999695,13.7059001923,6.82528018951,14.1740999222,13.2821998596,10.4292001724,8.60301017761,12.573800087,9.43373012543,13.4422998428
0,3.81000995636,14.3357000351,13.2978000641,13.7040996552,7.07722997665,14.0862998962,13.138999939,10.3070001602,8.63463973999,12.3115997314,9.36087989807,13.2889995575
0,2.56181001663,12.2199001312,9.95341014862,10.901599884,5.1451997757,10.8163995743,10.057100296,7.47088003159,9.7511100769,9.16051959991,6.1588602066,9.95860004425
0,2.71074008942,9.96208000183,8.69314002991,8.07472038269,13.2192001343,8.58467006683,9.05720996857,6.19153022766,4.27295017242,5.46985006332,4.89650011063,9.57456016541
0,9.94235038757,14.6536998749,14.1906003952,14.3625001907,8.26438999176,14.5205001831,12.0602998734,13.6000003815,13.9166002274,13.7181997299,12.7032003403,14.1251001358
0,2.65446996689,9.13599967957,7.8695101738,8.41275978088,4.0431599617,8.54730987549,5.5788397789,5.57641983032,5.85099983215,6.43310022354,5.36103010178,7.55677986145
0,2.7340900898,7.90850019455,5.21648979187,5.99174022675,4.58319997787,5.35820007324,9.56960010529,4.83320999146,3.7186601162,3.63231992722,4.08514022827,5.1791601181
0,2.52318000793,11.3447999954,4.32640981674,5.08117008209,4.36010980606,4.69310998917,12.7349004745,5.76890993118,5.99356985092,3.31726002693,4.00474023819,13.8243999481
0,7.3527097702,14.6225004196,14.3473997116,14.0342998505,13.6926002502,14.4520998001,13.1731996536,13.1310997009,12.830499649,13.516699791,10.991900444,14.269200325
0,7.57240009308,6.87798023224,5.45543003082,5.83079004288,13.4247999191,6.33644008636,5.52503013611,5.33335018158,3.56335997581,3.00533008575,4.67440986633,5.3840098381
0,7.34848022461,14.6016998291,13.8606004715,13.853099823,11.7876996994,14.2118997574,13.3781995773,11.9576997757,12.5523004532,13.0399999619,9.90904045105,14.031999588
0,2.38867998123,8.14964962006,6.15705013275,7.10004997253,14.1774997711,7.50960016251,11.0392999649,5.38602018356,5.10888004303,4.43289995193,4.62001991272,8.08323001862
0,6.35158014297,14.5753002167,13.9930000305,14.0666999817,7.44836997986,14.4381999969,12.442199707,12.45470047,10.4925003052,13.216799736,11.0391998291,14.0331001282
0,4.6591501236,14.5193996429,14.0357999802,13.9787998199,13.3430995941,14.4506998062,13.3648004532,12.158200264,12.9933004379,12.9154996872,10.5550003052,14.1182003021
0,6.9574098587,14.2850999832,13.2251996994,13.5552997589,6.60384988785,13.7530002594,12.1422996521,10.7385997772,9.33353996277,12.2460002899,8.54825973511,13.5886001587
0,9.53236961365,14.6806001663,14.2456998825,14.4013996124,8.79808044434,14.564499855,10.7051000595,13.4145002365,13.8839998245,13.8355998993,12.9664001465,14.2033004761
0,2.77232003212,12.682299614,10.3063001633,12.0243997574,7.91099023819,12.192199707,12.8035001755,8.28623962402,6.51323986053,9.47760009766,6.49494981766,11.3802995682
0,4.95781993866,13.4799995422,13.1625995636,12.0096998215,12.542599678,13.1990995407,12.6705999374,9.63457012177,10.7698001862,11.2046003342,6.74808979034,13.2362003326
0,2.74598002434,11.8010997772,8.02445030212,10.234000206,4.20269012451,8.88860988617,6.90100002289,6.24442005157,6.97860002518,7.2955198288,5.3263502121,6.58379983902
0,9.62036037445,14.6827001572,14.2981004715,14.342499733,13.0397996902,14.5381002426,13.1068000793,13.2575998306,13.5818004608,13.845199585,12.4450998306,14.1808996201
0,2.81740999222,7.83115005493,5.73296022415,6.5352101326,13.970199585,6.73592996597,9.37782001495,4.8993601799,4.06526994705,3.57967996597,5.00814008713,7.44888019562
0,4.83224010468,13.6773996353,13.2293996811,12.272600174,13.3055000305,13.6632003784,13.1681003571,10.4034996033,11.3614997864,10.9696998596,7.43866014481,13.6721000671
0,2.65688991547,9.87308979034,8.37664031982,7.48577022552,12.4699001312,8.59218978882,10.9336004257,5.93024015427,6.9217300415,4.96559000015,4.28988981247,9.27552032471
0,3.54783010483,11.5642004013,10.5499000549,9.67949008942,8.06340026855,10.7339000702,13.4828996658,7.27020978928,8.68994998932,8.6389799118,5.50315999985,10.7111997604
0,9.46022033691,14.6977996826,14.3805999756,14.2892999649,7.39866018295,14.5846996307,10.5469999313,13.7510995865,12.7048997879,13.9114999771,13.2671003342,14.2363004684
0,2.61736011505,11.853099823,9.32365989685,10.526599884,8.04181957245,10.8837995529,11.9222002029,6.80883979797,8.08213996887,7.23878002167,5.48333978653,10.5593004227
0,7.71415996552,14.660200119,14.152299881,14.192899704,7.11334991455,14.4224004745,13.2356004715,12.6180000305,10.7995004654,13.5289001465,10.758099556,13.9825000763
0,10.0256996155,14.7153997421,14.2931995392,14.3573999405,14.1823997498,14.5205001831,13.1604995728,13.3187999725,13.8212995529,13.7873001099,11.7806997299,14.2125997543
0,2.62890005112,11.2868995667,5.42892980576,8.29790973663,4.34959983826,6.58936977386,10.130399704,5.72900009155,3.34232997894,4.84228992462,4.7004199028,10.0452003479
0,2.56222009659,11.2589998245,9.28853988647,9.22661018372,5.96461009979,9.49030971527,12.6950998306,6.70002985001,7.72450017929,6.85847997665,4.95810985565,8.68171977997
0,2.53213000298,9.42238044739,7.46944999695,9.03392982483,10.7023000717,8.5308303833,8.58366966248,5.6444401741,6.31730985641,6.4041800499,4.58319997787,7.13752985001
0,6.83616018295,13.8999004364,13.5338001251,12.5216999054,12.5502004623,13.7309999466,11.2783002853,10.3565998077,9.052069664,12.1757001877,8.10210037231,13.3176002502
0,9.36507034302,14.5936002731,14.3449001312,14.2721004486,12.2129001617,14.4951000214,10.5184001923,13.4588003159,13.7567996979,13.7405996323,13.1497001648,14.1532001495
0,3.42817997932,11.8312997818,10.345199585,10.4715995789,14.0307998657,11.2153997421,11.8516998291,7.74101018906,9.0599603653,8.31534957886,5.42361021042,11.3619003296
0,5.55882978439,14.3289003372,13.4320001602,13.4381999969,12.0874004364,13.9870996475,11.9472999573,10.6942996979,11.7447004318,12.3027000427,8.88428020477,13.5600004196
